Date/Time	Electricity:Facility [kW](Hourly)	Fans:Electricity [kW](Hourly)	Cooling:Electricity [kW](Hourly)	Heating:Electricity [kW](Hourly)	InteriorLights:Electricity [kW](Hourly)	InteriorEquipment:Electricity [kW](Hourly)	Gas:Facility [kW](Hourly)	Heating:Gas [kW](Hourly)	Electricity:Facility [kW](Monthly)	Gas:Facility [kW](Monthly)
 01/01  01:00:00	16.98572719	1.569902916	0	0	5.481224596	1.011599678	51.75358929	51.75358929		
 01/01  02:00:00	16.64392461	1.228100338	0	0	5.481224596	1.011599678	40.25289443	40.25289443		
 01/01  03:00:00	17.09282433	1.677000057	0	0	5.481224596	1.011599678	55.2010493	55.2010493		
 01/01  04:00:00	16.6945097	1.278685421	0	0	5.481224596	1.011599678	41.9378362	41.9378362		
 01/01  05:00:00	17.12820412	1.712379843	0	0	5.481224596	1.011599678	56.37614315	56.37614315		
 01/01  06:00:00	16.75790392	1.342079642	0	0	5.481224596	1.011599678	44.02942935	44.02942935		
 01/01  07:00:00	17.27296899	1.857144716	0	0	5.481224596	1.011599678	61.23820146	61.23820146		
 01/01  08:00:00	10.89561296	1.428455348	0	0	5.481224596	1.011599678	46.94228976	46.94228976		
 01/01  09:00:00	8.21494349	1.722119216	0	0	5.481224596	1.011599678	56.97956273	56.97956273		
 01/01  10:00:00	7.49070306	0.997878786	0	0	5.481224596	1.011599678	32.88685346	32.88685346		
 01/01  11:00:00	7.676333239	1.183508964	0	0	5.481224596	1.011599678	38.94724506	38.94724506		
 01/01  12:00:00	7.142055172	0.649230897	0	0	5.481224596	1.011599678	21.31919702	21.31919702		
 01/01  13:00:00	7.037743548	0.544919274	0	0	5.481224596	1.011599678	17.90529013	17.90529013		
 01/01  14:00:00	6.854059763	0.361235489	0	0	5.481224596	1.011599678	11.73222259	11.73222259		
 01/01  15:00:00	7.027263455	0.53443918	0	0	5.481224596	1.011599678	17.574144	17.574144		
 01/01  16:00:00	6.940718035	0.44789376	0	0	5.481224596	1.011599678	14.59888059	14.59888059		
 01/01  17:00:00	8.732202184	0.752211243	0	0	5.481224596	1.011599678	24.50289923	24.50289923		
 01/01  18:00:00	16.13410545	0.718281171	0	0	5.481224596	1.011599678	23.37175073	23.37175073		
 01/01  19:00:00	16.60124153	1.185417259	0	0	5.481224596	1.011599678	38.78211666	38.78211666		
 01/01  20:00:00	16.41185782	0.996033542	0	0	5.481224596	1.011599678	32.54963924	32.54963924		
 01/01  21:00:00	16.81312686	1.39730259	0	0	5.481224596	1.011599678	45.8534564	45.8534564		
 01/01  22:00:00	16.49535042	1.07952615	0	0	5.481224596	1.011599678	35.32776235	35.32776235		
 01/01  23:00:00	16.93185272	1.516028449	0	0	5.481224596	1.011599678	49.8215495	49.8215495		
 01/01  24:00:00	16.57290163	1.157077358	0	0	5.481224596	1.011599678	37.89580895	37.89580895		
 01/02  01:00:00	17.02637514	1.610550866	0	0	5.481224596	1.011599678	52.96079438	52.96079438		
 01/02  02:00:00	16.64804408	1.232219806	0	0	5.481224596	1.011599678	40.38108219	40.38108219		
 01/02  03:00:00	17.0217789	1.605954628	0	0	5.481224596	1.011599678	52.80940127	52.80940127		
 01/02  04:00:00	16.59459285	1.178768574	0	0	5.481224596	1.011599678	38.60086612	38.60086612		
 01/02  05:00:00	17.02018814	1.604363866	0	0	5.481224596	1.011599678	52.74798678	52.74798678		
 01/02  06:00:00	16.62392061	1.208096336	0	0	5.481224596	1.011599678	39.57207805	39.57207805		
 01/02  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	76.46170199	76.46170199		
 01/02  08:00:00	33.43607491	3.478844803	0	0	21.92489839	5.05799839	60.32435587	60.32435587		
 01/02  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	50.17353706	50.17353706		
 01/02  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	42.55165053	42.55165053		
 01/02  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	36.83513013	36.83513013		
 01/02  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	32.75697843	32.75697843		
 01/02  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	32.27005213	32.27005213		
 01/02  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	29.82395467	29.82395467		
 01/02  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	28.79688444	28.79688444		
 01/02  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	28.32298587	28.32298587		
 01/02  17:00:00	63.40142994	3.478844803	0	0	49.33102137	9.104397103	30.38732737	30.38732737		
 01/02  18:00:00	30.18435188	0.771279378	0	0	16.44367379	4.046398712	26.2006185	26.2006185		
 01/02  19:00:00	16.32291123	0.907086954	0	0	5.481224596	1.011599678	30.09935535	30.09935535		
 01/02  20:00:00	16.70259118	1.286766901	0	0	5.481224596	1.011599678	43.04676627	43.04676627		
 01/02  21:00:00	16.48398818	1.068163906	0	0	5.481224596	1.011599678	35.11690766	35.11690766		
 01/02  22:00:00	16.80274715	1.386922872	0	0	5.481224596	1.011599678	46.27979257	46.27979257		
 01/02  23:00:00	16.55547972	1.139655446	0	0	5.481224596	1.011599678	37.35031743	37.35031743		
 01/02  24:00:00	16.90476859	1.488944319	0	0	5.481224596	1.011599678	49.62235056	49.62235056		
 01/03  01:00:00	16.66108795	1.245263676	0	0	5.481224596	1.011599678	40.74128538	40.74128538		
 01/03  02:00:00	17.03341285	1.617588573	0	0	5.481224596	1.011599678	53.88632041	53.88632041		
 01/03  03:00:00	16.76607874	1.350254466	0	0	5.481224596	1.011599678	44.15400076	44.15400076		
 01/03  04:00:00	17.14299607	1.727171795	0	0	5.481224596	1.011599678	57.56248004	57.56248004		
 01/03  05:00:00	16.85023571	1.434411431	0	0	5.481224596	1.011599678	46.88598323	46.88598323		
 01/03  06:00:00	17.23253041	1.816706134	0	0	5.481224596	1.011599678	60.55560729	60.55560729		
 01/03  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	83.05781136	83.05781136		
 01/03  08:00:00	33.43607491	3.478844803	0	0	21.92489839	5.05799839	73.37636359	73.37636359		
 01/03  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	59.95028864	59.95028864		
 01/03  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	44.71660426	44.71660426		
 01/03  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	31.26096904	31.26096904		
 01/03  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	20.75156843	20.75156843		
 01/03  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	17.3400994	17.3400994		
 01/03  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	10.79347793	10.79347793		
 01/03  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	11.46872275	11.46872275		
 01/03  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	14.08054026	14.08054026		
 01/03  17:00:00	63.40142994	3.478844803	0	0	49.33102137	9.104397103	20.72928938	20.72928938		
 01/03  18:00:00	30.06361874	0.650546237	0	0	16.44367379	4.046398712	22.06242799	22.06242799		
 01/03  19:00:00	16.42960644	1.013782168	0	0	5.481224596	1.011599678	33.88754873	33.88754873		
 01/03  20:00:00	16.55936297	1.143538695	0	0	5.481224596	1.011599678	37.95741442	37.95741442		
 01/03  21:00:00	16.74281848	1.326994209	0	0	5.481224596	1.011599678	44.05141892	44.05141892		
 01/03  22:00:00	16.75352781	1.337703538	0	0	5.481224596	1.011599678	44.2710426	44.2710426		
 01/03  23:00:00	16.78974449	1.373920218	0	0	5.481224596	1.011599678	45.52580473	45.52580473		
 01/03  24:00:00	16.71830228	1.302478009	0	0	5.481224596	1.011599678	43.01093556	43.01093556		
 01/04  01:00:00	16.85932529	1.443501016	0	0	5.481224596	1.011599678	47.76397651	47.76397651		
 01/04  02:00:00	16.87011551	1.454291234	0	0	5.481224596	1.011599678	47.9775174	47.9775174		
 01/04  03:00:00	16.96293892	1.547114647	0	0	5.481224596	1.011599678	51.14690798	51.14690798		
 01/04  04:00:00	16.90708301	1.491258732	0	0	5.481224596	1.011599678	49.15063432	49.15063432		
 01/04  05:00:00	16.98062651	1.56480224	0	0	5.481224596	1.011599678	51.66839391	51.66839391		
 01/04  06:00:00	16.88537604	1.469551769	0	0	5.481224596	1.011599678	48.33646632	48.33646632		
 01/04  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	76.31331893	76.31331893		
 01/04  08:00:00	33.43607491	3.478844803	0	0	21.92489839	5.05799839	65.68719098	65.68719098		
 01/04  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	52.18071052	52.18071052		
 01/04  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	39.23098171	39.23098171		
 01/04  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	30.11407055	30.11407055		
 01/04  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	22.04913432	22.04913432		
 01/04  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	21.15629225	21.15629225		
 01/04  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	20.0400078	20.0400078		
 01/04  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	19.91702415	19.91702415		
 01/04  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	19.10772802	19.10772802		
 01/04  17:00:00	63.40142994	3.478844803	0	0	49.33102137	9.104397103	23.49992578	23.49992578		
 01/04  18:00:00	30.10029063	0.687218133	0	0	16.44367379	4.046398712	23.30070743	23.30070743		
 01/04  19:00:00	16.26050799	0.844683713	0	0	5.481224596	1.011599678	28.04634277	28.04634277		
 01/04  20:00:00	16.74819602	1.332371749	0	0	5.481224596	1.011599678	44.34820945	44.34820945		
 01/04  21:00:00	16.54243343	1.126609156	0	0	5.481224596	1.011599678	37.20075777	37.20075777		
 01/04  22:00:00	16.96615488	1.550330602	0	0	5.481224596	1.011599678	51.52133844	51.52133844		
 01/04  23:00:00	16.66198401	1.246159738	0	0	5.481224596	1.011599678	41.06157092	41.06157092		
 01/04  24:00:00	17.14373605	1.727911774	0	0	5.481224596	1.011599678	57.34998133	57.34998133		
 01/05  01:00:00	16.75115572	1.33533145	0	0	5.481224596	1.011599678	43.9637507	43.9637507		
 01/05  02:00:00	17.11132293	1.69549866	0	0	5.481224596	1.011599678	56.2018989	56.2018989		
 01/05  03:00:00	16.65390377	1.238079496	0	0	5.481224596	1.011599678	40.68000601	40.68000601		
 01/05  04:00:00	17.02025581	1.604431538	0	0	5.481224596	1.011599678	53.04558573	53.04558573		
 01/05  05:00:00	16.63409086	1.218266585	0	0	5.481224596	1.011599678	39.95361897	39.95361897		
 01/05  06:00:00	17.02225616	1.606431883	0	0	5.481224596	1.011599678	53.04761835	53.04761835		
 01/05  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	71.70629855	71.70629855		
 01/05  08:00:00	33.43607491	3.478844803	0	0	21.92489839	5.05799839	59.92570865	59.92570865		
 01/05  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	48.16877484	48.16877484		
 01/05  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	37.50038089	37.50038089		
 01/05  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	28.99424442	28.99424442		
 01/05  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	21.26608669	21.26608669		
 01/05  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	18.07219368	18.07219368		
 01/05  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	17.1336827	17.1336827		
 01/05  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	17.20788749	17.20788749		
 01/05  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	15.57850068	15.57850068		
 01/05  17:00:00	63.40142994	3.478844803	0	0	49.33102137	9.104397103	18.30870433	18.30870433		
 01/05  18:00:00	29.94793809	0.534865592	0	0	16.44367379	4.046398712	18.1926945	18.1926945		
 01/05  19:00:00	16.24030728	0.824483007	0	0	5.481224596	1.011599678	27.6309388	27.6309388		
 01/05  20:00:00	16.3464542	0.930629923	0	0	5.481224596	1.011599678	30.93086135	30.93086135		
 01/05  21:00:00	16.51840648	1.10258221	0	0	5.481224596	1.011599678	36.61610788	36.61610788		
 01/05  22:00:00	16.5972904	1.181466121	0	0	5.481224596	1.011599678	39.08292316	39.08292316		
 01/05  23:00:00	16.76377422	1.347949946	0	0	5.481224596	1.011599678	44.67810681	44.67810681		
 01/05  24:00:00	16.83602091	1.42019664	0	0	5.481224596	1.011599678	46.94587684	46.94587684		
 01/06  01:00:00	17.02534242	1.609518146	0	0	5.481224596	1.011599678	53.30560289	53.30560289		
 01/06  02:00:00	16.95901205	1.543187774	0	0	5.481224596	1.011599678	50.98133706	50.98133706		
 01/06  03:00:00	17.05181046	1.635986182	0	0	5.481224596	1.011599678	54.12691549	54.12691549		
 01/06  04:00:00	16.95790157	1.542077293	0	0	5.481224596	1.011599678	50.89019362	50.89019362		
 01/06  05:00:00	16.99336806	1.57754379	0	0	5.481224596	1.011599678	52.1107996	52.1107996		
 01/06  06:00:00	16.91051273	1.494688458	0	0	5.481224596	1.011599678	49.20613133	49.20613133		
 01/06  07:00:00	18.89466908	3.478844803	0	0	5.481224596	1.011599678	75.66727017	75.66727017		
 01/06  08:00:00	33.43607491	3.478844803	0	0	21.92489839	5.05799839	62.93219198	62.93219198		
 01/06  09:00:00	49.9402144	3.478844803	0	0	38.36857217	8.092797425	51.6794269	51.6794269		
 01/06  10:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	41.35645075	41.35645075		
 01/06  11:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	31.54815373	31.54815373		
 01/06  12:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	20.30729053	20.30729053		
 01/06  13:00:00	55.421439	3.478844803	0	0	43.84979677	8.092797425	11.86520524	11.86520524		
 01/06  14:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	5.520186424	5.520186424		
 01/06  15:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	4.874566421	4.874566421		
 01/06  16:00:00	61.91426327	3.478844803	0	0	49.33102137	9.104397103	4.841187334	4.841187334		
 01/06  17:00:00	63.40142994	3.478844803	0	0	49.33102137	9.104397103	8.555711454	8.555711454		
 01/06  18:00:00	29.78327595	0.37020345	0	0	16.44367379	4.046398712	12.67304252	12.67304252		
 01/06  19:00:00	16.08459728	0.668773004	0	0	5.481224596	1.011599678	22.62065597	22.62065597		
 01/06  20:00:00	16.19239514	0.776570865	0	0	5.481224596	1.011599678	25.86876726	25.86876726		
 01/06  21:00:00	16.27940176	0.863577483	0	0	5.481224596	1.011599678	28.73544291	28.73544291		
 01/06  22:00:00	16.31350937	0.897685097	0	0	5.481224596	1.011599678	29.73172031	29.73172031		
